"Year","Expected_Attrition_Rate","Scenario"
1,0.161,"Baseline (no policy change)"
2,0.161,"Baseline (no policy change)"
3,0.161,"Baseline (no policy change)"
4,0.161,"Baseline (no policy change)"
5,0.161,"Baseline (no policy change)"
6,0.161,"Baseline (no policy change)"
7,0.161,"Baseline (no policy change)"
8,0.161,"Baseline (no policy change)"
9,0.161,"Baseline (no policy change)"
10,0.161,"Baseline (no policy change)"
1,0.16,"Optimized talent strategy"
2,0.158,"Optimized talent strategy"
3,0.156,"Optimized talent strategy"
4,0.155,"Optimized talent strategy"
5,0.153,"Optimized talent strategy"
6,0.152,"Optimized talent strategy"
7,0.15,"Optimized talent strategy"
8,0.149,"Optimized talent strategy"
9,0.147,"Optimized talent strategy"
10,0.146,"Optimized talent strategy"
